POM_1.1_GU002295 was removed because does not look like a gene, so removing its metadata
blaACT_16.1_AB737978 was removed because does not look like a gene, so removing its metadata
blaCMG.1_AY265892 was removed because does not look like a gene, so removing its metadata
blaCMY_12.1_Y16785 was removed because does not look like a gene, so removing its metadata
blaCMY_142.1_KX881969 was removed because does not look like a gene, so removing its metadata
blaCMY_29.1_EF685371 was removed because does not look like a gene, so removing its metadata
blaCMY_2b.1_U77414 was removed because does not look like a gene, so removing its metadata
blaCMY_87.1_AB699171 was removed because does not look like a gene, so removing its metadata
blaCTX_M_110.1_JF274242 was removed because does not look like a gene, so removing its metadata
blaCTX_M_74.1_GQ149243 was removed because does not look like a gene, so removing its metadata
blaCTX_M_75.1_GQ149244 was removed because does not look like a gene, so removing its metadata
blaGES_23.1_KF179354 was removed because does not look like a gene, so removing its metadata
blaGOB_2.1_AF189296 was removed because does not look like a gene, so removing its metadata
blaGOB_3.1_AF189291 was removed because does not look like a gene, so removing its metadata
blaGOB_4.1_AF189293 was removed because does not look like a gene, so removing its metadata
blaGOB_5.1_AF189290 was removed because does not look like a gene, so removing its metadata
blaGOB_6.1_AF189292 was removed because does not look like a gene, so removing its metadata
blaGOB_7.1_AF189297 was removed because does not look like a gene, so removing its metadata
blaKPC_25.1_KU216748 was removed because does not look like a gene, so removing its metadata
blaKPC_9.1_FJ624872 was removed because does not look like a gene, so removing its metadata
blaLEN10.1_AJ635419 was removed because does not look like a gene, so removing its metadata
blaLEN12.1_AJ635406 was removed because does not look like a gene, so removing its metadata
blaLEN13.1_AJ635403 was removed because does not look like a gene, so removing its metadata
blaLEN3.1_AY130286 was removed because does not look like a gene, so removing its metadata
blaLEN4.1_AY130287 was removed because does not look like a gene, so removing its metadata
blaLEN7.1_AJ635425 was removed because does not look like a gene, so removing its metadata
blaLEN8.1_AJ635424 was removed because does not look like a gene, so removing its metadata
blaLEN9.1_AJ635405 was removed because does not look like a gene, so removing its metadata
blaOKP_B_12.1_AJ635420 was removed because does not look like a gene, so removing its metadata
blaOKP_B_14.1_DQ995288 was removed because does not look like a gene, so removing its metadata
blaOXA_104.1_EF581285 was removed because does not look like a gene, so removing its metadata
blaOXA_116.1_EU220744 was removed because does not look like a gene, so removing its metadata
blaOXA_194.1_HQ425492 was removed because does not look like a gene, so removing its metadata
blaOXA_195.1_HQ425493 was removed because does not look like a gene, so removing its metadata
blaOXA_196.1_HQ425494 was removed because does not look like a gene, so removing its metadata
blaOXA_197.1_HQ425495 was removed because does not look like a gene, so removing its metadata
blaOXA_34.1_AF350424 was removed because does not look like a gene, so removing its metadata
blaOXA_36.1_AF300985 was removed because does not look like a gene, so removing its metadata
blaOXA_410.1_KJ584919 was removed because does not look like a gene, so removing its metadata
blaOXA_499.1_KT964029 was removed because does not look like a gene, so removing its metadata
blaOXY_1_5.5_AY077486 was removed because does not look like a gene, so removing its metadata
blaPER_5.1_FJ627180 was removed because does not look like a gene, so removing its metadata
blaSHV_147.1_JX121114 was removed because does not look like a gene, so removing its metadata
blaSHV_148.1_JX121115 was removed because does not look like a gene, so removing its metadata
blaSHV_149.1_JX121116 was removed because does not look like a gene, so removing its metadata
blaSHV_150.1_JX121117 was removed because does not look like a gene, so removing its metadata
blaSHV_151.1_JX121118 was removed because does not look like a gene, so removing its metadata
blaSHV_152.1_JX121119 was removed because does not look like a gene, so removing its metadata
blaSHV_153.1_JX121120 was removed because does not look like a gene, so removing its metadata
blaSHV_154.1_JX121121 was removed because does not look like a gene, so removing its metadata
blaSHV_155.1_JX121122 was removed because does not look like a gene, so removing its metadata
blaSHV_158.1_JX121125 was removed because does not look like a gene, so removing its metadata
blaSHV_159.1_JX121126 was removed because does not look like a gene, so removing its metadata
blaSHV_162.1_JX121129 was removed because does not look like a gene, so removing its metadata
blaSHV_163.1_JX121130 was removed because does not look like a gene, so removing its metadata
blaSHV_165.1_JX121131 was removed because does not look like a gene, so removing its metadata
blaTEM_205.1_KC900516 was removed because does not look like a gene, so removing its metadata
blaTEM_21.1_Y17582 was removed because does not look like a gene, so removing its metadata
blaTEM_22.1_Y17583 was removed because does not look like a gene, so removing its metadata
blaZ.52_NZ_JVWM01000127 was removed because does not look like a gene, so removing its metadata
blaZEG_1.1_AY265891 was removed because does not look like a gene, so removing its metadata
catS.1_X74948 was removed because does not look like a gene, so removing its metadata
dfrA29.1_AM237806 was removed because does not look like a gene, so removing its metadata
dldHA2X.1_AL939117 was removed because does not look like a gene, so removing its metadata
erm_A_.3_EU348758 was removed because does not look like a gene, so removing its metadata
erm_B_.22_X52632 was removed because does not look like a gene, so removing its metadata
erm_B_.7_AF368302 was removed because does not look like a gene, so removing its metadata
erm_V_.1_U59450 was removed because does not look like a gene, so removing its metadata
fmrO.1_Q08325 was removed because does not look like a gene, so removing its metadata
fomB.1_AB016934 was removed because does not look like a gene, so removing its metadata
fosA4.1_AB908992 was removed because does not look like a gene, so removing its metadata
fosA6.1_KU254579 was removed because does not look like a gene, so removing its metadata
mph_D_.1_AB048591 was removed because does not look like a gene, so removing its metadata
nimE.1_AJ244018 was removed because does not look like a gene, so removing its metadata
nimE.1_AM042593 was removed because does not look like a gene, so removing its metadata
nimF.1_AJ515145 was removed because does not look like a gene, so removing its metadata
nimH.1_KX576455 was removed because does not look like a gene, so removing its metadata
nimI.1_FJ940883 was removed because does not look like a gene, so removing its metadata
nimI.1_FJ940884 was removed because does not look like a gene, so removing its metadata
nimI.1_FJ940886 was removed because does not look like a gene, so removing its metadata
nimI.1_FJ940887 was removed because does not look like a gene, so removing its metadata
nimI.1_FJ940889 was removed because does not look like a gene, so removing its metadata
qnrB41.1_JN166690 was removed because does not look like a gene, so removing its metadata
qnrB43.1_JQ349151 was removed because does not look like a gene, so removing its metadata
qnrB44.1_JQ349153 was removed because does not look like a gene, so removing its metadata
qnrB45.1_JQ349152 was removed because does not look like a gene, so removing its metadata
qnrB46.1_JQ349154 was removed because does not look like a gene, so removing its metadata
qnrB47.1_JQ349155 was removed because does not look like a gene, so removing its metadata
qnrS3.1_EU077611 was removed because does not look like a gene, so removing its metadata
str.3_AM932524 was removed because does not look like a gene, so removing its metadata
sul4.1_MG649393 was removed because does not look like a gene, so removing its metadata
tet_E_.1_Y19116 was removed because does not look like a gene, so removing its metadata
tet_O_W_.1_AM889118 was removed because does not look like a gene, so removing its metadata
tet_O_W_.2_AM889119 was removed because does not look like a gene, so removing its metadata
tet_O_W_.3_AM889120 was removed because does not look like a gene, so removing its metadata
tet_O_W_.4_AM889121 was removed because does not look like a gene, so removing its metadata
tet_O_W_.5_AM889122 was removed because does not look like a gene, so removing its metadata
vanXmurFvanKWI.1_NZAGAF01000127 was removed because does not look like a gene, so removing its metadata
vanXmurFvanKWI.2_AP008230 was removed because does not look like a gene, so removing its metadata
vanXmurFvanWI.1_CP001336 was removed because does not look like a gene, so removing its metadata
