"Gene","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_021342655.1","GCA_021534865.1","GCA_021697815.1","GCA_021890555.1"
"groups_17","DUF945 domain-containing protein","1","1","1.0","822","822","822","","","","GCA_021890555.1-NZ_JAKLOD010000001.1-4093-cds-WP_001234409.1"
"groups_18","DUF945 domain-containing protein","1","1","1.0","819","819","819","","GCA_021534865.1-NZ_CP091038.1-1516-cds-WP_001234743.1","",""
"groups_19","DUF945 domain-containing protein","3","3","1.0","819","819","819.0","GCA_021342655.1-NZ_JAJTPH010000045.1-3879-cds-WP_001234738.1","GCA_021534865.1-NZ_CP091038.1-4690-cds-WP_032167344.1","GCA_021697815.1-NZ_JAJPUS010000004.1-4097-cds-WP_001234592.1",""
"groups_20","DUF945 domain-containing protein","2","2","1.0","819","819","819.0","","GCA_021534865.1-NZ_CP091038.1-4338-cds-WP_001175136.1","","GCA_021890555.1-NZ_JAKLOD010000001.1-771-cds-WP_001234749.1"
"groups_21","DUF945 domain-containing protein","1","1","1.0","819","819","819","","GCA_021534865.1-NZ_CP091038.1-2455-cds-WP_001234748.1","",""
"groups_22","DUF945 domain-containing protein","1","1","1.0","819","819","819","","","GCA_021697815.1-NZ_JAJPUS010000012.1-429-cds-WP_001175165.1",""
"groups_23","DUF945 domain-containing protein","1","1","1.0","819","819","819","GCA_021342655.1-NZ_JAJTPH010000050.1-4312-cds-WP_001234620.1","","",""
"groups_24","prophage tail fiber N-terminal domain-containing protein, phage tail protein","4","4","1.0","2907","3027","2980.0","GCA_021342655.1-NZ_JAJTPH010000001.1-1745-cds-WP_071550361.1","GCA_021534865.1-NZ_CP091038.1-388-cds-WP_230909659.1","GCA_021697815.1-NZ_JAJPUS010000017.1-1089-cds-WP_086352852.1","GCA_021890555.1-NZ_JAKLOD010000001.1-3396-cds-WP_000279163.1"
"groups_25","tail fiber protein","1","1","1.0","2592","2592","2592","","GCA_021534865.1-NZ_CP091038.1-4913-cds-WP_050487170.1","",""
"groups_26","prophage tail fiber N-terminal domain-containing protein","2","2","1.0","2169","3108","2638.0","GCA_021342655.1-NZ_JAJTPH010000066.1-4779-cds-WP_233291433.1","GCA_021534865.1-NZ_CP091038.1-824-cds-WP_000279160.1","",""
"groups_27","prophage tail fiber N-terminal domain-containing protein","1","1","1.0","3414","3414","3414","","GCA_021534865.1-NZ_CP091038.1-1295-cds-WP_151309006.1","",""
"groups_28","tail fiber protein","2","2","1.0","2025","3885","2955.0","","GCA_021534865.1-NZ_CP091040.1-5235-cds-WP_235392041.1","GCA_021697815.1-NZ_JAJPUS010000020.1-2046-cds-WP_236938296.1",""
"cbtA_00002","type IV toxin-antitoxin system cytoskeleton-binding toxin CbtA, TA system toxin CbtA family protein","3","3","1.0","378","378","378.0","GCA_021342655.1-NZ_JAJTPH010000044.1-3865-cds-WP_000854690.1","GCA_021534865.1-NZ_CP091038.1-4333-cds-WP_000854821.1","GCA_021697815.1-NZ_JAJPUS010000012.1-424-cds-WP_001564063.1",""
"cbtA_00003","type IV toxin-antitoxin system cytoskeleton-binding toxin CbtA","1","1","1.0","378","378","378","","GCA_021534865.1-NZ_CP091038.1-1510-cds-WP_000854808.1","",""
"cbtA_00004","type IV toxin-antitoxin system cytoskeleton-binding toxin CbtA","1","1","1.0","375","375","375","","GCA_021534865.1-NZ_CP091038.1-255-cds-WP_000854814.1","",""
"groups_32","TA system toxin CbtA family protein","4","4","1.0","375","378","377.0","GCA_021342655.1-NZ_JAJTPH010000045.1-3874-cds-WP_000854759.1","GCA_021534865.1-NZ_CP091038.1-4685-cds-WP_000854723.1","GCA_021697815.1-NZ_JAJPUS010000004.1-4092-cds-WP_000854683.1","GCA_021890555.1-NZ_JAKLOD010000001.1-766-cds-WP_063090830.1"
"cbtA_00005","type IV toxin-antitoxin system cytoskeleton-binding toxin CbtA","1","1","1.0","375","375","375","GCA_021342655.1-NZ_JAJTPH010000007.1-5239-cds-WP_000854815.1","","",""
"groups_34","TA system toxin CbtA family protein","2","2","1.0","378","378","378.0","","","GCA_021697815.1-NZ_JAJPUS010000012.1-502-cds-WP_000854735.1","GCA_021890555.1-NZ_JAKLOD010000001.1-820-cds-WP_000854735.1"
"groups_35","antirestriction protein","2","2","1.0","480","480","480.0","","","GCA_021697815.1-NZ_JAJPUS010000011.1-224-cds-WP_000860090.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1857-cds-WP_000860076.1"
"groups_36","antirestriction protein","2","2","1.0","444","480","462.0","","","GCA_021697815.1-NZ_JAJPUS010000012.1-428-cds-WP_001564060.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4092-cds-WP_001096016.1"
"groups_37","antirestriction protein","2","2","1.0","486","486","486.0","","","GCA_021697815.1-NZ_JAJPUS010000012.1-506-cds-WP_032153711.1","GCA_021890555.1-NZ_JAKLOD010000001.1-824-cds-WP_042096390.1-2"
"groups_38","antirestriction protein","1","1","1.0","486","486","486","","GCA_021534865.1-NZ_CP091038.1-1515-cds-WP_000214416.1","",""
"groups_39","antirestriction protein","1","1","1.0","486","486","486","","GCA_021534865.1-NZ_CP091038.1-2454-cds-WP_000214318.1","",""
"groups_40","antirestriction protein","2","2","1.0","483","486","484.0","","GCA_021534865.1-NZ_CP091038.1-4337-cds-WP_000206657.1","","GCA_021890555.1-NZ_JAKLOD010000001.1-770-cds-WP_042096390.1"
"groups_41","antirestriction protein","3","3","1.0","474","495","485.0","GCA_021342655.1-NZ_JAJTPH010000045.1-3878-cds-WP_001350782.1","GCA_021534865.1-NZ_CP091038.1-4689-cds-WP_032167345.1","GCA_021697815.1-NZ_JAJPUS010000004.1-4096-cds-WP_000206667.1",""
"groups_42","antirestriction protein","1","1","1.0","351","351","351","GCA_021342655.1-NZ_JAJTPH010000050.1-4313-cds-WP_104468064.1","","",""
"groups_43","DUF957 domain-containing protein","1","1","1.0","198","198","198","","GCA_021534865.1-NZ_CP091038.1-1508-cds-WP_000839248.1","",""
"groups_44","DUF957 domain-containing protein","2","2","1.0","198","198","198.0","","","GCA_021697815.1-NZ_JAJPUS010000012.1-500-cds-WP_000839265.1","GCA_021890555.1-NZ_JAKLOD010000001.1-818-cds-WP_000839265.1"
"groups_45","DUF957 domain-containing protein","2","2","1.0","198","198","198.0","","GCA_021534865.1-NZ_CP091038.1-4683-cds-WP_000772035.1","","GCA_021890555.1-NZ_JAKLOD010000001.1-764-cds-WP_000838536.1"
"groups_46","DUF957 domain-containing protein","3","3","1.0","195","198","197.0","GCA_021342655.1-NZ_JAJTPH010000044.1-3863-cds-WP_000839293.1","GCA_021534865.1-NZ_CP091038.1-4331-cds-WP_085949090.1","GCA_021697815.1-NZ_JAJPUS010000012.1-422-cds-WP_024181941.1",""
"groups_47","DUF957 domain-containing protein","2","2","1.0","177","198","188.0","GCA_021342655.1-NZ_JAJTPH010000045.1-3872-cds-WP_000839286.1","","GCA_021697815.1-NZ_JAJPUS010000004.1-4090-cds-WP_000839235.1",""
"ssb1","single-stranded DNA-binding protein SSB1","4","4","1.0","537","537","537.0","GCA_021342655.1-NZ_JAJTPH010000022.1-1935-cds-WP_000168305.1","GCA_021534865.1-NZ_CP091038.1-3147-cds-WP_000168305.1","GCA_021697815.1-NZ_JAJPUS010000008.1-5105-cds-WP_000168305.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4323-cds-WP_000168305.1"
"groups_49","single-stranded DNA-binding protein","3","3","1.0","528","540","536.0","GCA_021342655.1-NZ_JAJTPH010000033.1-3150-cds-WP_000290834.1","GCA_021534865.1-NZ_CP091041.1-5096-cds-WP_000290811.1","","GCA_021890555.1-NZ_JAKLOD010000002.1-4796-cds-WP_000290840.1"
"groups_50","single-stranded DNA-binding protein","3","3","1.0","528","540","532.0","GCA_021342655.1-NZ_JAJTPH010000030.1-2978-cds-WP_001276120.1","GCA_021534865.1-NZ_CP091042.1-5004-cds-WP_001276110.1","GCA_021697815.1-NZ_JAJPUS010000033.1-3195-cds-WP_000290841.1",""
"ssb","single-stranded DNA-binding protein","1","1","1.0","537","537","537","","GCA_021534865.1-NZ_CP091038.1-3054-cds-WP_000168252.1","",""
"groups_52","single-stranded DNA-binding protein","2","2","1.0","489","489","489.0","","GCA_021534865.1-NZ_CP091040.1-5220-cds-WP_000068865.1","GCA_021697815.1-NZ_JAJPUS010000020.1-2069-cds-WP_023351703.1",""
"groups_53","Ag43/Cah family autotransporter adhesin","3","3","1.0","2847","2847","2847.0","","GCA_021534865.1-NZ_CP091038.1-4340-cds-WP_000820507.1","GCA_021697815.1-NZ_JAJPUS010000004.1-4101-cds-WP_045150772.1","GCA_021890555.1-NZ_JAKLOD010000001.1-773-cds-WP_042096170.1"
"groups_54","Ag43/Cah family autotransporter adhesin","1","1","1.0","2847","2847","2847","","GCA_021534865.1-NZ_CP091038.1-2457-cds-WP_000820431.1","",""
"cah","calcium-binding autotransporter Cah","1","1","1.0","2850","2850","2850","","GCA_021534865.1-NZ_CP091038.1-1524-cds-WP_000820483.1","",""
"cah_00006","calcium-binding autotransporter Cah","2","2","1.0","2847","2856","2852.0","GCA_021342655.1-NZ_JAJTPH010000045.1-3881-cds-WP_021526504.1","GCA_021534865.1-NZ_CP091038.1-4691-cds-WP_063078388.1","",""
"agn43","autotransporter adhesin Ag43","1","1","1.0","3123","3123","3123","GCA_021342655.1-NZ_JAJTPH010000050.1-4308-cds-WP_000820373.1","","",""
"tnpB","IS66 family insertion sequence element accessory protein TnpB","2","2","1.0","348","348","348.0","GCA_021342655.1-NZ_JAJTPH010000045.1-3892-cds-WP_000612591.1","GCA_021534865.1-NZ_CP091038.1-1602-cds-WP_000612591.1","",""
"tnpB_00007","IS66 family insertion sequence element accessory protein TnpB","1","1","1.0","348","348","348","GCA_021342655.1-NZ_JAJTPH010000080.1-5245-cds-WP_000612626.1","","",""
"tnpB_00008","IS66 family insertion sequence element accessory protein TnpB","2","2","1.0","348","351","350.0","GCA_021342655.1-NZ_JAJTPH010000046.1-3897-cds-WP_059329665.1","GCA_021534865.1-NZ_CP091038.1-1527-cds-WP_000624618.1","",""
"tnpB_00009","IS66 family insertion sequence element accessory protein TnpB","1","1","1.0","312","312","312","","GCA_021534865.1-NZ_CP091039.1-5415-cds-WP_000624624.1","",""
"tnpB_00010","IS66 family insertion sequence element accessory protein TnpB","1","1","1.0","351","351","351","","GCA_021534865.1-NZ_CP091041.1-5140-cds-WP_000624722.1","",""
"tnpB_00011","IS66 family insertion sequence element accessory protein TnpB","1","1","1.0","351","351","351","","GCA_021534865.1-NZ_CP091038.1-1577-cds-WP_000624701.1","",""
"tnpB_00012","IS66 family insertion sequence element accessory protein TnpB","1","1","1.0","351","351","351","","GCA_021534865.1-NZ_CP091039.1-5419-cds-WP_000624709.1","",""
"tnpB_00013","IS66 family insertion sequence element accessory protein TnpB","1","1","1.0","348","348","348","","GCA_021534865.1-NZ_CP091038.1-2832-cds-WP_089592502.1","",""
"tnpB_00014","IS66 family insertion sequence element accessory protein TnpB","1","1","1.0","348","348","348","","GCA_021534865.1-NZ_CP091042.1-5027-cds-WP_000624618.1-2","",""
"groups_67","ISAs1-like element ISEc1 family transposase, ISAs1 family transposase","2","2","1.0","1137","1137","1137.0","","GCA_021534865.1-NZ_CP091038.1-2512-cds-WP_000420722.1","","GCA_021890555.1-NZ_JAKLOD010000001.1-3743-cds-L3T02_RS18615"
"groups_68","ISAs1 family transposase","2","2","1.0","1137","1137","1137.0","","GCA_021534865.1-NZ_CP091038.1-2508-cds-WP_000420822.1","","GCA_021890555.1-NZ_JAKLOD010000001.1-3736-cds-L3T02_RS18580"
"yhhI","ISAs1-like element ISEc1 family transposase","1","1","1.0","1137","1137","1137","","GCA_021534865.1-NZ_CP091038.1-3801-cds-L1O49_RS18800","",""
"ydcC","ISAs1-like element ISEc5 family transposase, ISAs1-like element ISEc1 family transposase, ISAs1 family transposase","3","3","1.0","1137","1137","1137.0","GCA_021342655.1-NZ_JAJTPH010000001.1-1582-cds-WP_000420759.1","GCA_021534865.1-NZ_CP091038.1-711-cds-WP_000421020.1","","GCA_021890555.1-NZ_JAKLOD010000001.1-2481-cds-L3T02_RS12320"
"groups_71","ISAs1 family transposase","2","2","1.0","1137","1137","1137.0","","GCA_021534865.1-NZ_CP091038.1-2192-cds-WP_000420969.1","","GCA_021890555.1-NZ_JAKLOD010000001.1-3383-cds-WP_000420797.1-2"
"groups_72","ISAs1 family transposase","1","1","1.0","1137","1137","1137","","","","GCA_021890555.1-NZ_JAKLOD010000001.1-1809-cds-WP_000420797.1"
"groups_73","hypothetical protein","3","3","1.0","273","279","277.0","GCA_021342655.1-NZ_JAJTPH010000032.1-3084-cds-WP_001329966.1","GCA_021534865.1-NZ_CP091038.1-327-cds-WP_032084570.1","GCA_021697815.1-NZ_JAJPUS010000003.1-3331-cds-WP_032140164.1",""
"groups_74","hypothetical protein","2","2","1.0","279","279","279.0","","GCA_021534865.1-NZ_CP091038.1-863-cds-WP_012304870.1","","GCA_021890555.1-NZ_JAKLOD010000001.1-2333-cds-WP_099145547.1"
"groups_75","hypothetical protein","2","2","1.0","279","279","279.0","","GCA_021534865.1-NZ_CP091038.1-1352-cds-WP_024168546.1","GCA_021697815.1-NZ_JAJPUS010000001.1-1338-cds-WP_125075465.1",""
"groups_76","AlpA family phage regulatory protein","1","1","1.0","207","207","207","","","GCA_021697815.1-NZ_JAJPUS010000060.1-4493-cds-WP_000235214.1",""
"groups_77","AlpA family phage regulatory protein","3","3","1.0","207","207","207.0","GCA_021342655.1-NZ_JAJTPH010000039.1-3331-cds-WP_000235219.1","GCA_021534865.1-NZ_CP091038.1-270-cds-WP_000235214.1","","GCA_021890555.1-NZ_JAKLOD010000001.1-1871-cds-WP_000235214.1"
"groups_78","AlpA family transcriptional regulator","1","1","1.0","207","207","207","GCA_021342655.1-NZ_JAJTPH010000050.1-4304-cds-WP_001095916.1","","",""
"groups_79","helix-turn-helix domain-containing protein, AlpA family transcriptional regulator","2","2","1.0","207","207","207.0","GCA_021342655.1-NZ_JAJTPH010000045.1-3885-cds-WP_000211308.1","","GCA_021697815.1-NZ_JAJPUS010000004.1-4108-cds-WP_000188790.1",""
"groups_80","AlpA family transcriptional regulator","2","2","1.0","207","207","207.0","","GCA_021534865.1-NZ_CP091038.1-2463-cds-WP_000856891.1","","GCA_021890555.1-NZ_JAKLOD010000001.1-782-cds-WP_001095912.1"
"groups_81","AlpA family phage regulatory protein","1","1","1.0","207","207","207","","","","GCA_021890555.1-NZ_JAKLOD010000001.1-4099-cds-WP_000213332.1"
"groups_82","putative zinc ribbon protein, hypothetical protein","4","4","1.0","402","402","402.0","GCA_021342655.1-NZ_JAJTPH010000039.1-3336-cds-WP_000271042.1","GCA_021534865.1-NZ_CP091038.1-273-cds-WP_000270974.1","GCA_021697815.1-NZ_JAJPUS010000039.1-3283-cds-WP_000270974.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1874-cds-WP_000271004.1"
"groups_83","putative zinc ribbon protein, hypothetical protein","2","2","1.0","384","402","393.0","GCA_021342655.1-NZ_JAJTPH010000045.1-3889-cds-WP_000270962.1","","GCA_021697815.1-NZ_JAJPUS010000004.1-4112-cds-WP_000271006.1",""
"groups_84","putative zinc ribbon protein","1","1","1.0","384","384","384","GCA_021342655.1-NZ_JAJTPH010000050.1-4300-cds-WP_000271011.1","","",""
"groups_85","putative zinc ribbon protein","1","1","1.0","357","357","357","","GCA_021534865.1-NZ_CP091038.1-4349-cds-WP_000271038.1","",""
"groups_86","putative zinc ribbon protein, hypothetical protein","2","2","1.0","384","384","384.0","","GCA_021534865.1-NZ_CP091038.1-2466-cds-WP_000271034.1","","GCA_021890555.1-NZ_JAKLOD010000001.1-787-cds-WP_063090827.1"
"groups_87","hypothetical protein","1","1","1.0","312","312","312","GCA_021342655.1-NZ_JAJTPH010000041.1-3790-cds-WP_227547987.1","","",""
"groups_88","hypothetical protein","1","1","1.0","312","312","312","GCA_021342655.1-NZ_JAJTPH010000065.1-4768-cds-WP_031942433.1","","",""
"groups_89","hypothetical protein","1","1","1.0","312","312","312","GCA_021342655.1-NZ_JAJTPH010000041.1-3792-cds-WP_032144809.1","","",""
"groups_90","hypothetical protein","3","3","1.0","312","312","312.0","GCA_021342655.1-NZ_JAJTPH010000070.1-5004-cds-WP_032143366.1","GCA_021534865.1-NZ_CP091042.1-4995-cds-WP_010891263.1","GCA_021697815.1-NZ_JAJPUS010000033.1-3179-cds-WP_011254640.1",""
"groups_91","hypothetical protein","1","1","1.0","312","312","312","","GCA_021534865.1-NZ_CP091041.1-5111-cds-WP_001309256.1","",""
"groups_92","hypothetical protein","1","1","1.0","312","312","312","","GCA_021534865.1-NZ_CP091042.1-4955-cds-WP_077633986.1","",""
"groups_93","DUF4942 domain-containing protein","2","2","1.0","867","867","867.0","","","GCA_021697815.1-NZ_JAJPUS010000012.1-499-cds-WP_032153714.1","GCA_021890555.1-NZ_JAKLOD010000001.1-817-cds-WP_032153714.1"
"groups_94","DUF4942 domain-containing protein","2","2","1.0","843","846","844.0","","GCA_021534865.1-NZ_CP091038.1-4682-cds-WP_001290254.1","","GCA_021890555.1-NZ_JAKLOD010000001.1-763-cds-WP_042096658.1"
"groups_95","DUF4942 domain-containing protein","1","1","1.0","843","843","843","","GCA_021534865.1-NZ_CP091038.1-1507-cds-WP_001280436.1","",""
"groups_96","DUF4942 domain-containing protein","3","3","1.0","843","846","844.0","GCA_021342655.1-NZ_JAJTPH010000044.1-3862-cds-WP_001529401.1","GCA_021534865.1-NZ_CP091038.1-4330-cds-WP_001280493.1","GCA_021697815.1-NZ_JAJPUS010000012.1-421-cds-IHV48_RS17610",""
"groups_97","DUF5983 family protein","2","2","1.0","489","489","489.0","GCA_021342655.1-NZ_JAJTPH010000044.1-3864-cds-WP_000761699.1","GCA_021534865.1-NZ_CP091038.1-1509-cds-WP_000761657.1","",""
"groups_98","DUF5983 family protein","4","4","1.0","489","492","490.0","GCA_021342655.1-NZ_JAJTPH010000045.1-3873-cds-WP_000761690.1","GCA_021534865.1-NZ_CP091038.1-4684-cds-WP_000761669.1","GCA_021697815.1-NZ_JAJPUS010000004.1-4091-cds-WP_000976831.1","GCA_021890555.1-NZ_JAKLOD010000001.1-765-cds-WP_042096656.1"
"groups_99","DUF5983 family protein","2","2","1.0","492","492","492.0","","","GCA_021697815.1-NZ_JAJPUS010000012.1-501-cds-WP_023155722.1","GCA_021890555.1-NZ_JAKLOD010000001.1-819-cds-WP_023155722.1"
"groups_100","GTPase family protein","2","2","1.0","873","873","873.0","","GCA_021534865.1-NZ_CP091038.1-2458-cds-WP_001407301.1","","GCA_021890555.1-NZ_JAKLOD010000001.1-774-cds-WP_063090829.1"
"groups_101","50S ribosome-binding GTPase","1","1","1.0","873","873","873","","GCA_021534865.1-NZ_CP091038.1-4341-cds-WP_230909634.1","",""
"groups_102","GTPase family protein","1","1","1.0","873","873","873","","GCA_021534865.1-NZ_CP091038.1-1525-cds-WP_001069768.1","",""
"groups_103","GTPase family protein","2","2","1.0","873","873","873.0","GCA_021342655.1-NZ_JAJTPH010000045.1-3882-cds-WP_001553935.1","GCA_021534865.1-NZ_CP091038.1-4692-cds-WP_032166798.1","",""
"groups_104","GTPase family protein","2","2","1.0","873","873","873.0","","GCA_021534865.1-NZ_CP091038.1-266-cds-WP_001069813.1","GCA_021697815.1-NZ_JAJPUS010000004.1-4102-cds-WP_001555245.1",""
"groups_105","GTPase family protein","1","1","1.0","873","873","873","GCA_021342655.1-NZ_JAJTPH010000050.1-4307-cds-WP_001069668.1","","",""
"groups_106","GTPase family protein","1","1","1.0","873","873","873","","","GCA_021697815.1-NZ_JAJPUS010000011.1-217-cds-WP_001069805.1",""
"groups_107","transposase","1","1","1.0","426","426","426","GCA_021342655.1-NZ_JAJTPH010000110.1-188-cds-WP_000422741.1","","",""
"groups_108","transposase","2","2","1.0","426","426","426.0","GCA_021342655.1-NZ_JAJTPH010000046.1-3898-cds-WP_000435655.1","GCA_021534865.1-NZ_CP091041.1-5141-cds-WP_000422741.1","",""
"groups_109","transposase","1","1","1.0","426","426","426","","GCA_021534865.1-NZ_CP091038.1-1531-cds-WP_000422760.1","",""
"groups_110","transposase","1","1","1.0","420","420","420","","GCA_021534865.1-NZ_CP091039.1-5418-cds-WP_000422708.1","",""
"groups_111","transposase","1","1","1.0","426","426","426","","GCA_021534865.1-NZ_CP091038.1-1578-cds-WP_000435663.1","",""
"groups_112","transposase","1","1","1.0","420","420","420","","GCA_021534865.1-NZ_CP091038.1-4695-cds-WP_000422690.1","",""
"rffG","dTDP-glucose 4%2C6-dehydratase","4","4","1.0","1068","1068","1068.0","GCA_021342655.1-NZ_JAJTPH010000015.1-836-cds-WP_001226629.1","GCA_021534865.1-NZ_CP091038.1-3446-cds-WP_001226573.1","GCA_021697815.1-NZ_JAJPUS010000016.1-918-cds-WP_023908854.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4675-cds-WP_001226586.1"
"rfbB","dTDP-glucose 4%2C6-dehydratase","4","4","1.0","1083","1107","1090.0","GCA_021342655.1-NZ_JAJTPH010000007.1-5199-cds-WP_152770602.1","GCA_021534865.1-NZ_CP091038.1-216-cds-WP_000699432.1","GCA_021697815.1-NZ_JAJPUS010000011.1-266-cds-WP_000699418.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1812-cds-WP_000699385.1"
"cspE","transcription antiterminator/RNA stability regulator CspE","4","4","1.0","210","210","210.0","GCA_021342655.1-NZ_JAJTPH010000001.1-1269-cds-WP_001062678.1","GCA_021534865.1-NZ_CP091038.1-1138-cds-WP_001062678.1","GCA_021697815.1-NZ_JAJPUS010000003.1-3597-cds-WP_001062678.1","GCA_021890555.1-NZ_JAKLOD010000001.1-2059-cds-WP_001062678.1"
"cspE_00015","transcription antiterminator/RNA stability regulator CspE","4","4","1.0","210","210","210.0","GCA_021342655.1-NZ_JAJTPH010000040.1-3743-cds-WP_000034825.1","GCA_021534865.1-NZ_CP091038.1-2131-cds-WP_000034825.1","GCA_021697815.1-NZ_JAJPUS010000001.1-1920-cds-WP_000034825.1","GCA_021890555.1-NZ_JAKLOD010000001.1-3321-cds-WP_000034825.1"
"cspA","RNA chaperone/antiterminator CspA","4","4","1.0","213","213","213.0","GCA_021342655.1-NZ_JAJTPH010000026.1-2279-cds-WP_000014594.1","GCA_021534865.1-NZ_CP091038.1-3723-cds-WP_000014594.1","GCA_021697815.1-NZ_JAJPUS010000037.1-3259-cds-WP_000014594.1","GCA_021890555.1-NZ_JAKLOD010000001.1-163-cds-WP_000014594.1"
"cspB","cold shock-like protein CspB","1","1","1.0","216","216","216","","GCA_021534865.1-NZ_CP091038.1-858-cds-WP_000066484.1","",""
"cspG","cold shock protein CspG","4","4","1.0","213","213","213.0","GCA_021342655.1-NZ_JAJTPH010000002.1-2648-cds-WP_000066490.1","GCA_021534865.1-NZ_CP091038.1-1647-cds-WP_000066490.1","GCA_021697815.1-NZ_JAJPUS010000001.1-1492-cds-WP_000066490.1","GCA_021890555.1-NZ_JAKLOD010000001.1-2904-cds-WP_000066490.1"
