gene_id,sample_id,seq_id,length,gene_name,gene_product,gene_index,strand
GCA_021342655.1-NZ_JAJTPH010000010.1-38-cds-WP_001296697.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1083,lptG,LPS export ABC transporter permease LptG,14,-
GCA_021342655.1-NZ_JAJTPH010000010.1-39-cds-LXO36_RS13460,GCA_021342655.1,NZ_JAJTPH010000010.1,1101,lptF,LPS export ABC transporter permease LptF,15,-
GCA_021342655.1-NZ_JAJTPH010000010.1-41-cds-WP_000397144.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1512,pepA,leucyl aminopeptidase,16,+
GCA_021342655.1-NZ_JAJTPH010000010.1-42-cds-WP_000786399.1,GCA_021342655.1,NZ_JAJTPH010000010.1,444,holC,DNA polymerase III subunit chi,17,+
GCA_021342655.1-NZ_JAJTPH010000010.1-43-cds-WP_000416407.1,GCA_021342655.1,NZ_JAJTPH010000010.1,2856,valS,valine--tRNA ligase,18,+
GCA_021342655.1-NZ_JAJTPH010000010.1-44-cds-WP_000079649.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1197,yjgN,YjgN family protein,19,-
GCA_021342655.1-NZ_JAJTPH010000010.1-45-cds-WP_001059398.1,GCA_021342655.1,NZ_JAJTPH010000010.1,504,yjgM,GNAT family N-acetyltransferase,20,+
GCA_021342655.1-NZ_JAJTPH010000010.1-46-cds-WP_000002953.1,GCA_021342655.1,NZ_JAJTPH010000010.1,417,rraB,ribonuclease E inhibitor RraB,21,-
GCA_021342655.1-NZ_JAJTPH010000010.1-47-cds-WP_000012944.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1005,argF,ornithine carbamoyltransferase,22,+
GCA_021342655.1-NZ_JAJTPH010000010.1-48-cds-WP_001553930.1,GCA_021342655.1,NZ_JAJTPH010000010.1,339,,hypothetical protein,23,-
GCA_021342655.1-NZ_JAJTPH010000010.1-49-cds-LXO36_RS13510,GCA_021342655.1,NZ_JAJTPH010000010.1,669,,hypothetical protein,24,-
GCA_021342655.1-NZ_JAJTPH010000010.1-50-cds-WP_001296694.1,GCA_021342655.1,NZ_JAJTPH010000010.1,453,tabA,toxin-antitoxin biofilm protein TabA,25,-
GCA_021342655.1-NZ_JAJTPH010000010.1-51-cds-WP_000256667.1,GCA_021342655.1,NZ_JAJTPH010000010.1,594,bdcR,TetR/AcrR family transcriptional regulator,26,-
GCA_021342655.1-NZ_JAJTPH010000010.1-52-cds-WP_000500696.1,GCA_021342655.1,NZ_JAJTPH010000010.1,714,bdcA,SDR family oxidoreductase,27,+
GCA_021342655.1-NZ_JAJTPH010000010.1-53-cds-WP_000230273.1,GCA_021342655.1,NZ_JAJTPH010000010.1,396,yjgH,RidA family protein,28,+
GCA_021342655.1-NZ_JAJTPH010000010.1-54-cds-WP_001296693.1,GCA_021342655.1,NZ_JAJTPH010000010.1,135,pyrL,pyr operon leader peptide,29,+
GCA_021342655.1-NZ_JAJTPH010000010.1-55-cds-WP_000013046.1,GCA_021342655.1,NZ_JAJTPH010000010.1,936,pyrB,aspartate carbamoyltransferase,30,+
GCA_021342655.1-NZ_JAJTPH010000010.1-56-cds-WP_000148581.1,GCA_021342655.1,NZ_JAJTPH010000010.1,462,pyrI,aspartate carbamoyltransferase regulatory subunit,31,+
GCA_021342655.1-NZ_JAJTPH010000010.1-57-cds-WP_000047539.1,GCA_021342655.1,NZ_JAJTPH010000010.1,387,ridA,2-iminobutanoate/2-iminopropanoate deaminase,32,+
GCA_021342655.1-NZ_JAJTPH010000010.1-58-cds-WP_000471866.1,GCA_021342655.1,NZ_JAJTPH010000010.1,2697,mgtA,magnesium-translocating P-type ATPase,33,-
GCA_021342655.1-NZ_JAJTPH010000010.1-60-cds-WP_001181324.1,GCA_021342655.1,NZ_JAJTPH010000010.1,948,treR,trehalose operon repressor TreR,34,+
GCA_021342655.1-NZ_JAJTPH010000010.1-61-cds-WP_001296691.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1422,treB,PTS trehalose transporter subunit IIBC,35,+
GCA_021342655.1-NZ_JAJTPH010000010.1-62-cds-WP_001296690.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1656,treC,alpha%2Calpha-phosphotrehalase,36,+
GCA_021342655.1-NZ_JAJTPH010000010.1-63-cds-WP_000187791.1,GCA_021342655.1,NZ_JAJTPH010000010.1,2139,nrdD,anaerobic ribonucleoside-triphosphate reductase,37,+
GCA_021342655.1-NZ_JAJTPH010000010.1-64-cds-WP_001106238.1,GCA_021342655.1,NZ_JAJTPH010000010.1,465,nrdG,anaerobic ribonucleoside-triphosphate reductase-activating protein,38,+
GCA_021342655.1-NZ_JAJTPH010000010.1-65-cds-WP_001232240.1,GCA_021342655.1,NZ_JAJTPH010000010.1,387,cybC,cytochrome b562,39,-
GCA_021342655.1-NZ_JAJTPH010000010.1-66-cds-WP_001162171.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1353,pmbA,metalloprotease PmbA,40,-
GCA_021342655.1-NZ_JAJTPH010000010.1-67-cds-WP_000166270.1,GCA_021342655.1,NZ_JAJTPH010000010.1,552,yjgA,ribosome-associated protein,41,+
GCA_021342655.1-NZ_JAJTPH010000010.1-68-cds-WP_001219792.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1374,mpl,UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase,42,-
GCA_021342655.1-NZ_JAJTPH010000010.1-69-cds-WP_000853753.1,GCA_021342655.1,NZ_JAJTPH010000010.1,999,fbp,class 1 fructose-bisphosphatase,43,+
GCA_021342655.1-NZ_JAJTPH010000010.1-70-cds-WP_000596015.1,GCA_021342655.1,NZ_JAJTPH010000010.1,996,yjfF,sugar ABC transporter permease YjfF,44,-
GCA_021342655.1-NZ_JAJTPH010000010.1-71-cds-WP_001296689.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1023,ytfT,ABC transporter permease,45,-
GCA_021342655.1-NZ_JAJTPH010000010.1-72-cds-WP_000205813.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1503,ytfR,sugar ABC transporter ATP-binding protein,46,-
GCA_021342655.1-NZ_JAJTPH010000010.1-73-cds-WP_000265933.1,GCA_021342655.1,NZ_JAJTPH010000010.1,957,ytfQ,galactofuranose ABC transporter substrate-binding protein YtfQ,47,-
GCA_021342655.1-NZ_JAJTPH010000010.1-74-cds-WP_000055075.1,GCA_021342655.1,NZ_JAJTPH010000010.1,531,ppa,inorganic diphosphatase,48,+
GCA_021342655.1-NZ_JAJTPH010000010.1-75-cds-WP_000239579.1,GCA_021342655.1,NZ_JAJTPH010000010.1,351,chpB,endoribonuclease toxin ChpB,49,-
GCA_021342655.1-NZ_JAJTPH010000010.1-76-cds-WP_001223208.1,GCA_021342655.1,NZ_JAJTPH010000010.1,252,chpS,type II toxin-antitoxin system antitoxin ChpS,50,-
GCA_021342655.1-NZ_JAJTPH010000010.1-77-cds-WP_001219160.1,GCA_021342655.1,NZ_JAJTPH010000010.1,342,ytfP,gamma-glutamylcyclotransferase,51,-
GCA_021342655.1-NZ_JAJTPH010000010.1-78-cds-WP_000060945.1,GCA_021342655.1,NZ_JAJTPH010000010.1,3780,tamB,autotransporter assembly complex protein TamB,52,-
GCA_021342655.1-NZ_JAJTPH010000010.1-79-cds-LXO36_RS13660,GCA_021342655.1,NZ_JAJTPH010000010.1,1734,tamA,autotransporter assembly complex protein TamA,53,-
GCA_021342655.1-NZ_JAJTPH010000010.1-80-cds-WP_001295196.1,GCA_021342655.1,NZ_JAJTPH010000010.1,639,msrA,peptide-methionine (S)-S-oxide reductase MsrA,54,+
GCA_021342655.1-NZ_JAJTPH010000010.1-81-cds-WP_000935042.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1344,paeA,hemolysin family protein,55,+
GCA_021342655.1-NZ_JAJTPH010000010.1-82-cds-WP_000689228.1,GCA_021342655.1,NZ_JAJTPH010000010.1,207,ytfK,DUF1107 domain-containing protein,56,-
GCA_021342655.1-NZ_JAJTPH010000010.1-83-cds-WP_000175289.1,GCA_021342655.1,NZ_JAJTPH010000010.1,558,ytfJ,YtfJ family protein,57,+
GCA_021342655.1-NZ_JAJTPH010000010.1-84-cds-WP_000886909.1,GCA_021342655.1,NZ_JAJTPH010000010.1,741,cysQ,3'(2')%2C5'-bisphosphate nucleotidase CysQ,58,-
GCA_021342655.1-NZ_JAJTPH010000010.1-85-cds-WP_000589423.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1944,cpdB,2'%2C3'-cyclic-nucleotide 2'-phosphodiesterase,59,+
GCA_021342655.1-NZ_JAJTPH010000010.1-86-cds-WP_000084622.1,GCA_021342655.1,NZ_JAJTPH010000010.1,381,ytfH,helix-turn-helix transcriptional regulator,60,-
GCA_021342655.1-NZ_JAJTPH010000010.1-87-cds-WP_000560559.1,GCA_021342655.1,NZ_JAJTPH010000010.1,861,qorB,NAD(P)H:quinone oxidoreductase,61,+
GCA_021342655.1-NZ_JAJTPH010000010.1-88-cds-WP_001296686.1,GCA_021342655.1,NZ_JAJTPH010000010.1,966,ytfF,DMT family transporter,62,+
GCA_021342655.1-NZ_JAJTPH010000010.1-89-cds-WP_000331456.1,GCA_021342655.1,NZ_JAJTPH010000010.1,663,ytfE,iron-sulfur cluster repair protein YtfE,63,+
GCA_021342655.1-NZ_JAJTPH010000010.1-90-cds-WP_000228346.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1413,cycA,D-serine/D-alanine/glycine transporter,64,-
GCA_021342655.1-NZ_JAJTPH010000010.1-91-cds-WP_000211225.1,GCA_021342655.1,NZ_JAJTPH010000010.1,621,fklB,FKBP-type peptidyl-prolyl cis-trans isomerase,65,-
GCA_021342655.1-NZ_JAJTPH010000010.1-92-cds-WP_001119459.1,GCA_021342655.1,NZ_JAJTPH010000010.1,639,ytfB,cell division protein YtfB,66,+
GCA_021342655.1-NZ_JAJTPH010000010.1-93-cds-WP_001296685.1,GCA_021342655.1,NZ_JAJTPH010000010.1,648,,TetR family transcriptional regulator,67,-
GCA_021342655.1-NZ_JAJTPH010000010.1-94-cds-WP_000843394.1,GCA_021342655.1,NZ_JAJTPH010000010.1,792,,3-ketoacyl-ACP reductase,68,+
GCA_021342655.1-NZ_JAJTPH010000010.1-95-cds-WP_001205256.1,GCA_021342655.1,NZ_JAJTPH010000010.1,843,,sugar phosphate isomerase/epimerase,69,+
GCA_021342655.1-NZ_JAJTPH010000010.1-96-cds-WP_000999661.1,GCA_021342655.1,NZ_JAJTPH010000010.1,777,,enoyl-CoA hydratase/isomerase family protein,70,+
GCA_021342655.1-NZ_JAJTPH010000010.1-97-cds-WP_001228948.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1542,,acyl CoA:acetate/3-ketoacid CoA transferase,71,+
GCA_021342655.1-NZ_JAJTPH010000010.1-98-cds-WP_000080320.1,GCA_021342655.1,NZ_JAJTPH010000010.1,2073,,FAD-binding protein,72,+
GCA_021342655.1-NZ_JAJTPH010000010.1-99-cds-WP_001033607.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1278,,MFS transporter,73,+
GCA_021342655.1-NZ_JAJTPH010000010.1-100-cds-WP_001531217.1,GCA_021342655.1,NZ_JAJTPH010000010.1,762,,HipA domain-containing protein,74,-
GCA_021342655.1-NZ_JAJTPH010000010.1-101-cds-WP_001296683.1,GCA_021342655.1,NZ_JAJTPH010000010.1,507,,HipA N-terminal domain-containing protein,75,-
GCA_021342655.1-NZ_JAJTPH010000010.1-102-cds-WP_000516894.1,GCA_021342655.1,NZ_JAJTPH010000010.1,492,,helix-turn-helix transcriptional regulator,76,-
GCA_021342655.1-NZ_JAJTPH010000010.1-103-cds-WP_001196062.1,GCA_021342655.1,NZ_JAJTPH010000010.1,450,rplI,50S ribosomal protein L9,77,-
GCA_021342655.1-NZ_JAJTPH010000010.1-104-cds-WP_000135199.1,GCA_021342655.1,NZ_JAJTPH010000010.1,228,rpsR,30S ribosomal protein S18,78,-
GCA_021342655.1-NZ_JAJTPH010000010.1-105-cds-WP_001296681.1,GCA_021342655.1,NZ_JAJTPH010000010.1,315,priB,primosomal replication protein N,79,-
GCA_021342655.1-NZ_JAJTPH010000010.1-106-cds-WP_001216676.1,GCA_021342655.1,NZ_JAJTPH010000010.1,396,rpsF,30S ribosomal protein S6,80,-
GCA_021342655.1-NZ_JAJTPH010000010.1-107-cds-WP_000492914.1,GCA_021342655.1,NZ_JAJTPH010000010.1,276,yjfY,DUF1471 family protein YjfY,81,+
GCA_021342655.1-NZ_JAJTPH010000010.1-108-cds-WP_001170806.1,GCA_021342655.1,NZ_JAJTPH010000010.1,687,ulaF,L-ribulose-5-phosphate 4-epimerase UlaF,82,-
GCA_021342655.1-NZ_JAJTPH010000010.1-109-cds-WP_000949500.1,GCA_021342655.1,NZ_JAJTPH010000010.1,855,ulaE,L-ribulose-5-phosphate 3-epimerase UlaE,83,-
GCA_021342655.1-NZ_JAJTPH010000010.1-110-cds-WP_000056749.1,GCA_021342655.1,NZ_JAJTPH010000010.1,651,ulaD,3-keto-L-gulonate-6-phosphate decarboxylase UlaD,84,-
GCA_021342655.1-NZ_JAJTPH010000010.1-111-cds-WP_000776505.1,GCA_021342655.1,NZ_JAJTPH010000010.1,465,ulaC,PTS ascorbate transporter subunit IIA,85,-
GCA_021342655.1-NZ_JAJTPH010000010.1-112-cds-WP_000218362.1,GCA_021342655.1,NZ_JAJTPH010000010.1,306,ulaB,PTS ascorbate transporter subunit IIB,86,-
GCA_021342655.1-NZ_JAJTPH010000010.1-113-cds-WP_000404887.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1398,ulaA,PTS ascorbate transporter subunit IIC,87,-
GCA_021342655.1-NZ_JAJTPH010000010.1-114-cds-WP_001296680.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1065,ulaG,L-ascorbate 6-phosphate lactonase,88,+
GCA_021342655.1-NZ_JAJTPH010000010.1-115-cds-WP_000133631.1,GCA_021342655.1,NZ_JAJTPH010000010.1,756,ulaR,HTH-type transcriptional regulator UlaR,89,+
GCA_021342655.1-NZ_JAJTPH010000010.1-116-cds-WP_000569716.1,GCA_021342655.1,NZ_JAJTPH010000010.1,750,yjfP,esterase,90,-
GCA_021342655.1-NZ_JAJTPH010000010.1-117-cds-WP_000254626.1,GCA_021342655.1,NZ_JAJTPH010000010.1,330,bsmA,biofilm peroxide resistance protein BsmA,91,+
GCA_021342655.1-NZ_JAJTPH010000010.1-118-cds-WP_000811566.1,GCA_021342655.1,NZ_JAJTPH010000010.1,276,yjfN,DUF1471 family protease activator YjfN,92,+
GCA_021342655.1-NZ_JAJTPH010000010.1-119-cds-WP_023141062.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1641,aidB,isovaleryl-CoA dehydrogenase,93,-
GCA_021342655.1-NZ_JAJTPH010000010.1-120-cds-WP_000944012.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1164,yjfC,glutathionylspermidine synthase family protein,94,-
GCA_021342655.1-NZ_JAJTPH010000010.1-121-cds-WP_000101639.1,GCA_021342655.1,NZ_JAJTPH010000010.1,639,yjfM,DUF1190 domain-containing protein,95,-
GCA_021342655.1-NZ_JAJTPH010000010.1-122-cds-WP_000547753.1,GCA_021342655.1,NZ_JAJTPH010000010.1,399,yjfL,DUF350 domain-containing protein,96,-
GCA_021342655.1-NZ_JAJTPH010000010.1-123-cds-WP_000012575.1,GCA_021342655.1,NZ_JAJTPH010000010.1,660,yjfK,YjfK family protein,97,-
GCA_021342655.1-NZ_JAJTPH010000010.1-124-cds-WP_000511955.1,GCA_021342655.1,NZ_JAJTPH010000010.1,699,yjfJ,PspA/IM30 family protein,98,-
GCA_021342655.1-NZ_JAJTPH010000010.1-125-cds-WP_000220124.1,GCA_021342655.1,NZ_JAJTPH010000010.1,402,yjfI,DUF2170 family protein,99,-
GCA_021342655.1-NZ_JAJTPH010000010.1-126-cds-WP_001293282.1,GCA_021342655.1,NZ_JAJTPH010000010.1,732,rlmB,23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,100,-
GCA_021342655.1-NZ_JAJTPH010000010.1-127-cds-WP_000076322.1,GCA_021342655.1,NZ_JAJTPH010000010.1,2442,rnr,ribonuclease R,101,-
GCA_021342655.1-NZ_JAJTPH010000010.1-128-cds-LXO36_RS13905,GCA_021342655.1,NZ_JAJTPH010000010.1,426,nsrR,nitric oxide-sensing transcriptional repressor NsrR,102,-
GCA_021342655.1-NZ_JAJTPH010000010.1-129-cds-WP_000527954.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1299,purA,adenylosuccinate synthase,103,-
GCA_021342655.1-NZ_JAJTPH010000010.1-130-cds-WP_001089295.1,GCA_021342655.1,NZ_JAJTPH010000010.1,198,yjeT,DUF2065 domain-containing protein,104,-
GCA_021342655.1-NZ_JAJTPH010000010.1-131-cds-WP_001232412.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1005,hflC,protease modulator HflC,105,-
GCA_021342655.1-NZ_JAJTPH010000010.1-132-cds-WP_000312479.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1260,hflK,FtsH protease activity modulator HflK,106,-
GCA_021342655.1-NZ_JAJTPH010000010.1-133-cds-WP_000460357.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1281,hflX,GTPase HflX,107,-
GCA_021342655.1-NZ_JAJTPH010000010.1-134-cds-WP_001051883.1,GCA_021342655.1,NZ_JAJTPH010000010.1,309,hfq,RNA chaperone Hfq,108,-
GCA_021342655.1-NZ_JAJTPH010000010.1-135-cds-WP_001280359.1,GCA_021342655.1,NZ_JAJTPH010000010.1,951,miaA,tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA,109,-
GCA_021342655.1-NZ_JAJTPH010000010.1-136-cds-WP_001296676.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1848,mutL,DNA mismatch repair endonuclease MutL,110,-
GCA_021342655.1-NZ_JAJTPH010000010.1-137-cds-WP_000990282.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1332,amiB,N-acetylmuramoyl-L-alanine amidase AmiB,111,-
GCA_021342655.1-NZ_JAJTPH010000010.1-138-cds-WP_000981977.1,GCA_021342655.1,NZ_JAJTPH010000010.1,462,tsaE,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE,112,-
GCA_021342655.1-NZ_JAJTPH010000010.1-139-cds-WP_001296674.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1548,nnr,bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase,113,-
GCA_021342655.1-NZ_JAJTPH010000010.1-140-cds-WP_001294229.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1140,queG,tRNA epoxyqueuosine(34) reductase QueG,114,+
GCA_021342655.1-NZ_JAJTPH010000010.1-145-cds-WP_001295188.1,GCA_021342655.1,NZ_JAJTPH010000010.1,546,orn,oligoribonuclease,115,-
GCA_021342655.1-NZ_JAJTPH010000010.1-146-cds-WP_000041976.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1053,rsgA,small ribosomal subunit biogenesis GTPase RsgA,116,+
GCA_021342655.1-NZ_JAJTPH010000010.1-147-cds-WP_000934914.1,GCA_021342655.1,NZ_JAJTPH010000010.1,969,asd,archaetidylserine decarboxylase,117,+
GCA_021342655.1-NZ_JAJTPH010000010.1-148-cds-WP_023141093.1,GCA_021342655.1,NZ_JAJTPH010000010.1,3300,mscM,miniconductance mechanosensitive channel MscM,118,+
GCA_021342655.1-NZ_JAJTPH010000010.1-149-cds-WP_001276183.1,GCA_021342655.1,NZ_JAJTPH010000010.1,315,yjeO,YjeO family protein,119,-
GCA_021342655.1-NZ_JAJTPH010000010.1-150-cds-WP_001296672.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1503,yjeM,glutamate/gamma-aminobutyrate family transporter YjeM,120,-
GCA_021342655.1-NZ_JAJTPH010000010.1-151-cds-WP_000004771.1,GCA_021342655.1,NZ_JAJTPH010000010.1,978,epmA,elongation factor P--(R)-beta-lysine ligase,121,-
GCA_021342655.1-NZ_JAJTPH010000010.1-152-cds-LXO36_RS14025,GCA_021342655.1,NZ_JAJTPH010000010.1,1809,frdA,fumarate reductase (quinol) flavoprotein subunit,122,+
GCA_021342655.1-NZ_JAJTPH010000010.1-153-cds-WP_000829498.1,GCA_021342655.1,NZ_JAJTPH010000010.1,735,frdB,fumarate reductase iron-sulfur protein,123,+
GCA_021342655.1-NZ_JAJTPH010000010.1-154-cds-WP_000208757.1,GCA_021342655.1,NZ_JAJTPH010000010.1,396,frdC,fumarate reductase subunit FrdC,124,+
GCA_021342655.1-NZ_JAJTPH010000010.1-155-cds-WP_000609663.1,GCA_021342655.1,NZ_JAJTPH010000010.1,360,frdD,fumarate reductase subunit FrdD,125,+
GCA_021342655.1-NZ_JAJTPH010000010.1-156-cds-WP_001296671.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1134,ampC,BlaEC family class C beta-lactamase,126,+
GCA_021342655.1-NZ_JAJTPH010000010.1-157-cds-WP_001238369.1,GCA_021342655.1,NZ_JAJTPH010000010.1,534,blc,lipocalin Blc,127,+
GCA_021342655.1-NZ_JAJTPH010000010.1-158-cds-WP_000118482.1,GCA_021342655.1,NZ_JAJTPH010000010.1,318,sugE,quaternary ammonium compound efflux SMR transporter SugE,128,-
GCA_021342655.1-NZ_JAJTPH010000010.1-159-cds-WP_000239596.1,GCA_021342655.1,NZ_JAJTPH010000010.1,147,ecnB,lipoprotein toxin entericidin B,129,-
GCA_021342655.1-NZ_JAJTPH010000010.1-160-cds-WP_000977757.1,GCA_021342655.1,NZ_JAJTPH010000010.1,126,ecnA,lipoprotein antitoxin entericidin A,130,-
GCA_021342655.1-NZ_JAJTPH010000010.1-161-cds-WP_000257278.1,GCA_021342655.1,NZ_JAJTPH010000010.1,567,efp,elongation factor P,131,-
GCA_021342655.1-NZ_JAJTPH010000010.1-162-cds-WP_000940543.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1029,epmB,EF-P beta-lysylation protein EpmB,132,+
GCA_021342655.1-NZ_JAJTPH010000010.1-163-cds-WP_001008032.1,GCA_021342655.1,NZ_JAJTPH010000010.1,870,yjeJ,YjeJ family protein,133,+
GCA_021342655.1-NZ_JAJTPH010000010.1-164-cds-WP_000558209.1,GCA_021342655.1,NZ_JAJTPH010000010.1,354,yjeI,DUF4156 domain-containing protein,134,-
GCA_021342655.1-NZ_JAJTPH010000010.1-165-cds-WP_000729117.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1647,groL,chaperonin GroEL,135,-
GCA_021342655.1-NZ_JAJTPH010000010.1-166-cds-WP_001026276.1,GCA_021342655.1,NZ_JAJTPH010000010.1,294,groS,co-chaperone GroES,136,-
GCA_021342655.1-NZ_JAJTPH010000010.1-167-cds-WP_000015841.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1257,yjeH,L-methionine/branched-chain amino acid transporter,137,+
GCA_021342655.1-NZ_JAJTPH010000010.1-168-cds-WP_001267445.1,GCA_021342655.1,NZ_JAJTPH010000010.1,477,fxsA,membrane protein FxsA,138,-
GCA_021342655.1-NZ_JAJTPH010000010.1-169-cds-WP_000069437.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1437,aspA,aspartate ammonia-lyase,139,+
GCA_021342655.1-NZ_JAJTPH010000010.1-170-cds-WP_000961959.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1302,dcuA,anaerobic C4-dicarboxylate transporter DcuA,140,+
GCA_021342655.1-NZ_JAJTPH010000010.1-171-cds-WP_000883409.1,GCA_021342655.1,NZ_JAJTPH010000010.1,339,cutA,divalent cation tolerance protein CutA,141,+
GCA_021342655.1-NZ_JAJTPH010000010.1-172-cds-WP_000068941.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1698,dsbD,protein-disulfide reductase DsbD,142,+
GCA_021342655.1-NZ_JAJTPH010000010.1-173-cds-LXO36_RS14130,GCA_021342655.1,NZ_JAJTPH010000010.1,576,yjdC,transcriptional regulator,143,+
GCA_021342655.1-NZ_JAJTPH010000010.1-176-cds-WP_001187191.1,GCA_021342655.1,NZ_JAJTPH010000010.1,1539,cadC,lysine decarboxylation/transport transcriptional activator CadC,144,+
